Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz GLA-Class 2019;GLA 220 AT (184 л.с.) 4Matic;35 413 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1549711.html;Бензин
Mercedes-Benz GLC-Class 2019;base 200d AT (163 л.с.);45 284 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1670086.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;base 180d АТ (116 л.с.);34 958 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1549686.html;Дизтопливо
Mercedes-Benz AMG GT 2019;Mercedes-AMG GT4 43 AT (367 л.с.) 4Matic+;112 588 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1811381.html;Бензин
Mercedes-Benz C-Class 2019;base 180d MT (122 л.с.);33 401 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1549712.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;Mercedes-AMG 63 9G-TCT (571л.с.) 4Matic;112 080 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1833778.html;Бензин/Электричество
Mercedes-Benz E-Class 2019;New E 300d AT (245 л.с.);49 106 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1717586.html;Дизтопливо
Mercedes-Benz A-Class 2019;200d AT (150 л.с.) 4Matic;39 591 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830542.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;base 250 AT (224 л.с.) 4Matic;42 611 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1669930.html;Бензин
Mercedes-Benz CLS-Class 2019;350 G-Tronic (299 л.с.) EQ-Boost;71 386 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1808698.html;Бензин
Mercedes-Benz CLA-Class 2019;base 220 AT (190 л.с.) 4Matic;40 290 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1669923.html;Бензин
Mercedes-Benz C-Class 2019;base 220d G-Tronic (194 л.с.) 4Matic;41 927 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669801.html;Дизтопливо
