Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz SL-Class 2019;Mercedes-AMG SL 65 AT (629 л.с.);297 994 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-sl-class-1804004.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S65 G-Tronic (629 л.с.);289 917 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1804002.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63s AT (510 л.с.);83 144 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1803975.html;Бензин
Mercedes-Benz AMG GT 2019;GT S AT (510 л.с.);163 199 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804007.html;Бензин
Mercedes-Benz S-Class 2019;AMG S 63 AT (612 л.с.) 4Matic+;199 623 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1803979.html;Бензин
Mercedes-Benz E-Class 2019;AMG E 53 G-tronic (435 л.с.) 4Matic+;72 784 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803970.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S65 G-Tronic (629 л.с.);281 326 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1803980.html;Бензин
Mercedes-Benz AMG GT 2019;GT R AT (585 л.с.);194 609 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804009.html;Бензин
Mercedes-Benz AMG GT 2019;GT AT (462 л.с.);143 258 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804006.html;Бензин
Mercedes-Benz AMG GT 2020;Mercedes-AMG GT4 53 AT (435 л.с.) 4Matic+;209 051 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1835835.html;Бензин
Mercedes-Benz E-Class 2019;New E 200 АТ (184 л.с.);51 103 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670042.html;Бензин
Mercedes-Benz GLE-Class 2019;Coupe AMG 63S 9G-TCT (612 л.с.) 4Matic;133 364 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1833782.html;Бензин/Электричество
Mercedes-Benz C-Class 2019;base 180 G-Tronic (156 л.с.);34 988 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1718624.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S 63 AT (612 л.с.) 4Matic Long;152 492 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1785555.html;Бензин
Mercedes-Benz GLE-Class 2019;Mercedes-AMG 63 9G-TCT (571л.с.) 4Matic;112 158 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1833778.html;Бензин/Электричество
Mercedes-Benz CLS-Class 2019;400d G-Tronic (340 л.с.) 4Matic;79 827 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1669986.html;Дизтопливо
Mercedes-Benz S-Class 2019;AMG S 63 AT (612 л.с.) 4Matic+;200 169 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1670123.html;Бензин
Mercedes-Benz GLE-Class 2019;350d AT (272 л.с.) 4Matic;65 476 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1670078.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;350d AT (272 л.с.) 4Matic;65 476 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1549968.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 300d AT (245 л.с.);49 108 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1717586.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;45 AMG AT (387 л.с.) 4Matic+;59 867 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1826327.html;Бензин
Mercedes-Benz CLA-Class 2019;base 35 AMG AT (306 л.с.) 4Matic;51 648 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1807134.html;Бензин
Mercedes-Benz E-Class 2019;New E 400d AT (340 л.с.) 4Matic;58 558 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670018.html;Дизтопливо
